,Ave AirTemp (degC),Ave Humidity (%),Min WndSpd (m/s),Ave WndSpd (m/s),Max WndSpd (m/s),Ave WndDir (deg),Ave Sigma (deg),Total Rain (mm),Ave GSR (w/m²),Min Battery (V),Ave Battery (V),Max Battery (V),Ave DeltaT (degC),72
20140901151000,18.3,88.8,0,0.4,1.49,175.6,11.1,0,118,13.9,13.9,13.9,1.2,69
20140901151500,18.4,88.6,0,0.62,2.24,191.1,36.9,0,98,13.9,13.9,13.9,1.2,69
20140901152000,18.3,88.3,0,0.41,1.34,201.2,17.4,0,115,13.9,13.9,13.9,1.3,69
20140901152500,18.4,87.9,0,0.44,1.93,182.9,17.5,0,133,13.9,13.9,13.9,1.3,69
20140901153000,18.4,87.2,0,0.82,2.68,198.9,48.1,0,110,13.9,13.9,13.9,1.4,69
20140901153500,18.5,87.1,0,0.43,2.38,168.8,48.6,0,76,13.9,13.9,13.9,1.4,69
20140901154000,18.5,86.9,0,0.73,3.13,153.5,67.7,0,87,13.9,13.9,13.9,1.4,69
20140901154500,18.4,87.3,0,0.7,2.83,311.6,96,0,97,13.9,13.9,13.9,1.4,69
20140901155000,18.4,87.7,0,0.56,1.63,206.4,66.9,0,110,13.9,13.9,13.9,1.3,69
20140901155500,18.4,88.2,0,0.2,0.74,262.7,0,0,99,13.9,13.9,13.9,1.3,69
20140901160000,18.4,88.5,0,0.38,1.63,227.4,39.6,0,108,13.9,13.9,13.9,1.3,69
20140901160500,18.4,88.7,0,0.33,1.93,266.7,47.5,0,108,13.5,13.9,13.9,1.2,69
20140901161000,18.4,88.7,0,0.55,1.79,214.3,49.5,0,161,13.9,13.9,14,1.2,69
20140901161500,18.5,88.5,0,0.41,1.63,198.7,22.5,0,159,13.9,13.9,13.9,1.3,69
20140901162000,18.6,88.1,0,0.41,1.63,0.7,11.9,0,93,13.9,13.9,13.9,1.3,69
20140901162500,18.6,87.5,0,0.81,2.53,164.1,61.7,0,80,13.9,13.9,13.9,1.4,69
20140901163000,18.6,87.1,0,0.3,1.49,171.9,15.4,0,81,13.9,13.9,13.9,1.4,69
20140901163500,18.7,86.7,0,0.56,2.08,149.7,20,0,55,13.8,13.9,13.9,1.5,69
20140901164000,18.7,86.4,0,0.6,2.53,182.9,35.4,0,50,13.5,13.7,13.9,1.5,69
20140901164500,18.7,86,0,0.46,1.34,193,19.8,0,57,13.5,13.6,13.6,1.5,69
20140901165000,18.7,85.8,0,0.38,1.79,225.6,36.1,0,80,13.6,13.8,13.9,1.6,69
20140901165500,18.8,85.5,0,0.49,1.93,194.9,34.6,0,83,13.7,13.8,13.9,1.6,69
20140901170000,18.8,85.4,0,0.34,1.93,181,6.1,0,77,13.9,13.9,13.9,1.6,69
20140901170500,18.9,85.2,0,0.62,1.79,177.3,6.7,0,71,13.4,13.7,13.9,1.6,69
20140901171000,18.9,85.1,0,0.53,1.93,164.8,9.1,0,117,13.9,13.9,13.9,1.7,69
20140901171500,18.9,84.8,0,0.47,1.79,149.6,40.7,0,125,13.9,13.9,13.9,1.7,69
20140901172000,19,84.7,0,0.77,3.13,181.9,27.4,0,114,13.9,13.9,13.9,1.7,69
20140901172500,19,84.7,0,0.78,2.53,168.9,26.3,0,149,13.9,13.9,13.9,1.7,69
20140901173000,19,84.4,0,0.43,1.79,192.2,29,0,122,13.9,13.9,13.9,1.7,69
20140901173500,19.1,84.1,0,0.45,1.93,164.1,16.7,0,154,13.9,13.9,13.9,1.8,69
20140901174000,19.2,83.6,0,0.52,1.49,165.3,16.2,0,155,13.9,13.9,13.9,1.8,69
20140901174500,19.2,83.1,0,0.84,2.68,163,11.5,0,136,13.9,13.9,13.9,1.9,69
20140901175000,19.3,83.3,0,0.31,1.34,171.2,0,0,131,13.9,13.9,13.9,1.9,69
20140901175500,19.3,83.1,0,0.3,1.34,177.9,14.7,0,94,13.9,13.9,13.9,1.9,69
20140901180000,19.2,83.2,0,0.59,2.38,230,57.2,0,79,13.9,13.9,13.9,1.9,69
20140901180500,19.2,83.4,0,0.38,1.93,300.3,54.7,0,70,13.4,13.6,13.9,1.9,69
20140901181000,19.2,83.2,0,0.53,2.53,193.2,30.1,0,69,13.8,13.9,13.9,1.9,69
20140901181500,19.2,83.1,0,0.49,1.63,231.5,54.7,0,61,13.6,13.8,13.9,1.9,69
20140901182000,19.3,83,0,0.42,1.49,187.6,6.8,0,58,13.6,13.6,13.6,1.9,69
20140901182500,19.3,83,0,0.45,1.63,185.6,10.5,0,55,13.5,13.5,13.6,1.9,69
20140901183000,19.3,83.1,0,0.34,1.19,231.7,1.8,0,37,13.4,13.5,13.5,1.9,69
20140901183500,19.2,83.1,0,0.33,1.79,209.1,27.8,0,35,13.4,13.4,13.4,1.9,69
20140901184000,19.2,83.3,0,0.34,1.93,184.3,13.8,0,39,13.4,13.4,13.4,1.9,69
20140901184500,19.2,83.4,0,0.24,1.93,201.1,25.4,0,28,13.3,13.3,13.4,1.9,69
20140901185000,19.2,83.4,0,0.51,2.08,228.2,28.4,0,25,13.3,13.3,13.3,1.9,69
20140901185500,19.1,84,0,0.6,2.24,181.4,17.3,0,21,13.3,13.3,13.3,1.8,69
20140901190000,19,84.9,0,0.35,1.49,179.2,8.8,0,10,13.2,13.3,13.3,1.7,69
20140901190500,18.9,85.7,0,0.43,1.93,167.5,0,0,5,13.1,13.2,13.3,1.6,69
20140901191000,18.9,86.4,0,0.39,2.38,133.3,40.1,0,7,13.2,13.2,13.2,1.5,69
20140901191500,18.9,87,0,0.26,0.89,182.4,0,0,7,13.2,13.2,13.2,1.4,69
20140901192000,18.6,87.3,0,0.86,2.08,259.4,44.5,0.2,3,13.2,13.2,13.2,1.4,69
20140901192500,18.4,87.5,0,0.63,1.63,253.3,17.5,0,1,13.2,13.2,13.2,1.4,69
20140901193000,18.4,87.7,0,0.62,1.49,256.5,29.5,0,1,13.2,13.2,13.2,1.3,69
20140901193500,18.4,88.2,0,0.27,1.04,251.2,0,0,1,13.2,13.2,13.2,1.3,69
20140901194000,18.3,88.8,0,0.53,1.63,258.1,11.5,0,2,13.2,13.2,13.2,1.2,69
20140901194500,18.1,90.1,0,0.24,0.89,283.2,0,0,3,13.2,13.2,13.2,1.1,69
20140901195000,18.1,91,0,0.42,1.19,283,0,0,2,13.2,13.2,13.2,1,69
20140901195500,17.9,91.6,0,0.49,1.34,283,0,0,1,13.2,13.2,13.2,0.9,69
20140901200000,17.8,91.9,0,0.3,1.19,282.7,0,0,1,13.2,13.2,13.2,0.9,69
20140901200500,17.7,92.2,0,0.35,1.63,283.4,0,0,1,13.1,13.2,13.2,0.8,69
20140901201000,17.7,92.2,0,0.57,1.63,274.5,4.3,0,1,13.2,13.2,13.2,0.8,69
20140901201500,17.8,92.2,0,0.41,2.24,277.5,0,0,1,13.2,13.2,13.2,0.8,69
