UTC+8 20161117_05:12:27	1479373947160	 : csv.php/handleCSV()	 : The File ./tmpData/4. Green Roof Property_Example for database.docxis not a CSV File
UTC+8 20161117_05:12:27	1479373947161	 : upload.php/ 	 : File 14793739472. MeasureData_20140901-20140930_Part 2.csv Upload to ./Uploads/1611/
UTC+8 20161117_05:12:27	1479373947161	 : upload.php/ 	 : File 14793739472. MeasureData_20140901-20140930_Part 2.csv is checked to be a data table with csv extention and be record in history. Prepare for update to database.
UTC+8 20161117_05:12:43	1479373963620	 : csv.php/handleCSV()	 : The File ./tmpData/4. Green Roof Property_Example for database.docxis not a CSV File
UTC+8 20161117_05:12:43	1479373963620	 : upload.php/ 	 : File 14793739631. WeatherData_20140901-20140930_Example for database.CSV Upload to ./Uploads/1611/
UTC+8 20161117_05:12:43	1479373963620	 : upload.php/ 	 : File 14793739631. WeatherData_20140901-20140930_Example for database.CSV is checked to be a data table with CSV extention and be record in history. Prepare for update to database.
UTC+8 20161129_06:07:40	1480414061016	 : csv.php/handleCSV()	 : The File ./tmpData/4. Green Roof Property_Example for database.docxis not a CSV File
UTC+8 20161129_06:07:41	1480414061075	 : upload.php/ 	 : File 14804140611. WeatherData_20140901-20140930_Example for database.CSV Upload to ./Uploads/1611/
UTC+8 20161129_06:07:41	1480414061092	 : upload.php/ 	 : File 14804140611. WeatherData_20140901-20140930_Example for database.CSV is checked to be a data table with CSV extention and be record in history. Prepare for update to database.
UTC+8 20161129_06:07:56	1480414076351	 : csv.php/handleCSV()	 : The File ./tmpData/4. Green Roof Property_Example for database.docxis not a CSV File
UTC+8 20161129_06:07:56	1480414076352	 : upload.php/ 	 : File 14804140762. MeasureData_20140901-20140930_Part 2.csv Upload to ./Uploads/1611/
UTC+8 20161129_06:07:56	1480414076352	 : upload.php/ 	 : File 14804140762. MeasureData_20140901-20140930_Part 2.csv is checked to be a data table with csv extention and be record in history. Prepare for update to database.
UTC+8 20161129_06:09:08	1480414148901	 : csv.php/handleCSV()	 : The File ./tmpData/4. Green Roof Property_Example for database.docxis not a CSV File
UTC+8 20161129_06:09:08	1480414148901	 : upload.php/ 	 : File 14804141482. MeasureData_20140901-20140930_Part 1.csv Upload to ./Uploads/1611/
UTC+8 20161129_06:09:08	1480414148902	 : upload.php/ 	 : File 14804141482. MeasureData_20140901-20140930_Part 1.csv is checked to be a data table with csv extention and be record in history. Prepare for update to database.
UTC+8 20161129_06:11:00	1480414260441	 : csv.php/handleCSV()	 : The File ./tmpData/4. Green Roof Property_Example for database.docxis not a CSV File
UTC+8 20161129_06:11:00	1480414260441	 : upload.php/ 	 : Fail to Upload 
UTC+8 20161129_06:11:16	1480414276225	 : csv.php/handleCSV()	 : The File ./tmpData/4. Green Roof Property_Example for database.docxis not a CSV File
UTC+8 20161129_06:11:16	1480414276225	 : upload.php/ 	 : File 14804142762. MeasureData_20140901-20140930_Part 2.csv Upload to ./Uploads/1611/
UTC+8 20161129_06:11:16	1480414276225	 : upload.php/ 	 : File 14804142762. MeasureData_20140901-20140930_Part 2.csv is checked to be a data table with csv extention and be record in history. Prepare for update to database.
UTC+8 20161129_06:11:44	1480414304663	 : csv.php/handleCSV()	 : The File ./tmpData/4. Green Roof Property_Example for database.docxis not a CSV File
UTC+8 20161129_06:11:44	1480414304663	 : upload.php/ 	 : File 14804143042. MeasureData_20140901-20140930_Part 1.csv Upload to ./Uploads/1611/
UTC+8 20161129_06:11:44	1480414304663	 : upload.php/ 	 : File 14804143042. MeasureData_20140901-20140930_Part 1.csv is checked to be a data table with csv extention and be record in history. Prepare for update to database.
